Planet#	Diameter (km)	g (m/s^2)	semi-major axis (AU)	T star (K)	Radius star (m)	Mass planet (kg)	T planet (K)	Gases atmosphere	Abundances	Unit abundances2000	15752.17008	14.1273064071222	0.04124	3250.0	0.291	1.313875832e+25	384.81536	CO2,SO2,H2O,CO,HCl,HF	91.31,110.86,31.34,28.82,0.4,6.3	pct,ppm,ppm,ppm,ppm,ppm
2001	19740.5435	29.341311789823	0.08553	3250.0	0.291	4.285602752000001e+25	258.49891	N2,O2,H2O,CO2,O3,CH4	80.42,15.46,1.59,0.21,6.71,4.1	pct,pct,pct,pct,ppm,ppm
2002	8103.65716	5.922827399093887	0.13891	3250.0	0.291	1.45782492e+24	172.94177	N2,O2,H2O,CO2,O3,CH4	76.2,17.04,0.89,0.35,8.21,8.29	pct,pct,pct,pct,ppm,ppm
2005	14793.079740000001	11.027590877555062	0.10028	3100.0	0.243	9.04507176e+24	206.89374	N2,O2,H2O,CO2,O3,CH4	70.26,13.86,1.87,0.22,8.87,1.6	pct,pct,pct,pct,ppm,ppm
2008	18517.9486	12.067535391732164	0.03614	3000.0	0.149	1.5510239520000002e+25	283.40715	N2,O2,H2O,CO2,O3,CH4	74.66,21.8,1.8,0.09,4.29,9.54	pct,pct,pct,pct,ppm,ppm
2009	15126.537880000002	21.349622349619477	0.05425	3000.0	0.149	1.8309793680000001e+25	223.90489	N2,O2,H2O,CO2,O3,CH4	81.81,15.66,1.04,0.04,1.93,6.83	pct,pct,pct,pct,ppm,ppm
2018	14691.398580000001	9.669726000965696	0.02219	3100.0	0.243	7.82266308e+24	461.8418	CO2,SO2,H2O,CO,HCl,HF	91.59,75.2,42.8,60.15,9.12,2.04	pct,ppm,ppm,ppm,ppm,ppm
2019	17255.08898	7.6161791836879225	0.03617	3100.0	0.243	8.499350400000001e+24	345.96859	CO2,SO2,H2O,CO,HCl,HF	93.31,145.55,51.83,35.57,5.18,7.14	pct,ppm,ppm,ppm,ppm,ppm
2020	16325.17782	25.543535201600864	0.05652	3100.0	0.243	2.551590748e+25	229.76664	CO2,SO2,H2O,CO,HCl,HF	93.1,58.58,37.83,58.48,5.91,4.08	pct,ppm,ppm,ppm,ppm,ppm
2026	15932.341960000002	10.766795727170072	0.12011	3100.0	0.243	1.02437716e+25	173.94161	N2,O2,H2O,CO2,O3,CH4	71.3,14.34,2.8,0.15,9.36,9.13	pct,pct,pct,pct,ppm,ppm
2029	8295.29684	6.015164016000353	0.1116	3250.0	0.291	1.5514061600000003e+24	170.84818	N2,O2,H2O,CO2,O3,CH4	78.27,12.72,0.36,0.09,8.89,0.88	pct,pct,pct,pct,ppm,ppm
2033	13991.3531	24.954555690472596	0.18533	3250.0	0.291	1.8309793680000001e+25	187.41091	N2,O2,H2O,CO2,O3,CH4	83.88,13.55,0.83,0.17,8.11,5.08	pct,pct,pct,pct,ppm,ppm
2037	12900.765319999999	6.871920527762653	0.15207	3250.0	0.291	4.2867016000000004e+24	155.86333	N2,O2,H2O,CO2,O3,CH4	85.82,11.89,1.59,0.02,6.39,0.38	pct,pct,pct,pct,ppm,ppm
2040	17092.1188	29.888320374151395	0.04514	3000.0	0.149	3.272709748e+25	258.33326	N2,O2,H2O,CO2,O3,CH4	75.65,20.63,0.78,0.15,1.28,9.01	pct,pct,pct,pct,ppm,ppm
2041	13996.19506	16.131718409173317	0.02064	3250.0	0.291	1.1844446760000001e+25	429.57499	CO2,SO2,H2O,CO,HCl,HF	94.51,100.94,52.61,38.32,3.0,6.68	pct,ppm,ppm,ppm,ppm,ppm
2043	14264.541580000003	20.76337731430948	0.14777	3250.0	0.291	1.5835355200000002e+25	202.12328	N2,O2,H2O,CO2,O3,CH4	88.93,10.34,0.14,0.09,4.68,6.87	pct,pct,pct,pct,ppm,ppm
2046	9582.11142	13.255872882030204	0.02356	3000.0	0.149	4.56189136e+24	278.28748	CO2,SO2,H2O,CO,HCl,HF	91.27,57.29,57.2,96.91,4.52,8.75	pct,ppm,ppm,ppm,ppm,ppm
2047	11930.07976	12.421936130067657	0.0381	3000.0	0.149	6.626590920000001e+24	206.84017	N2,O2,H2O,CO2,O3,CH4	74.98,24.16,0.36,0.02,9.0,5.09	pct,pct,pct,pct,ppm,ppm
2048	12354.898040000002	5.841656832780885	0.06796	3000.0	0.149	3.34217008e+24	173.66135	N2,O2,H2O,CO2,O3,CH4	74.58,22.93,0.48,0.03,0.79,0.61	pct,pct,pct,pct,ppm,ppm
2053	14414.26008	8.869678116348476	0.04619	3250.0	0.291	6.90727492e+24	355.78104	CO2,SO2,H2O,CO,HCl,HF	91.58,76.33,42.58,56.2,5.5,2.59	pct,ppm,ppm,ppm,ppm,ppm
2054	17710.99774	13.192231825753032	0.06065	3250.0	0.291	1.5510239520000002e+25	319.33705	CO2,SO2,H2O,CO,HCl,HF	94.89,85.47,63.77,38.62,3.9,2.2	pct,ppm,ppm,ppm,ppm,ppm
2055	15243.636859999999	6.445220923689272	0.14811	3250.0	0.291	5.613441120000001e+24	213.89263	N2,O2,H2O,CO2,O3,CH4	76.03,12.52,1.32,0.18,5.84,6.39	pct,pct,pct,pct,ppm,ppm
2058	13550.09764	5.276671618983494	0.05799	3100.0	0.243	3.6312746e+24	226.39704	N2,O2,H2O,CO2,O3,CH4	88.61,10.66,0.25,0.02,2.24,8.39	pct,pct,pct,pct,ppm,ppm
2059	19003.801059999998	22.718939197851604	0.09955	3100.0	0.243	3.075269456e+25	228.16203	N2,O2,H2O,CO2,O3,CH4	71.64,22.91,1.54,0.12,5.06,7.1	pct,pct,pct,pct,ppm,ppm
2061	19326.301079999997	60.69657819379308	0.05053	3100.0	0.243	8.49720048e+25	293.09324	CO2,SO2,H2O,CO,HCl,HF	93.18,133.36,57.43,87.15,3.34,7.32	pct,ppm,ppm,ppm,ppm,ppm
2077	13469.695619999999	4.430572416510996	0.0426	3000.0	0.149	3.01293372e+24	246.1994	N2,O2,H2O,CO2,O3,CH4	86.96,11.53,0.38,0.03,6.16,5.43	pct,pct,pct,pct,ppm,ppm
2078	17802.612719999997	14.186294851875562	0.07447	3000.0	0.149	1.685196876e+25	168.37234	N2,O2,H2O,CO2,O3,CH4	75.51,16.82,1.76,0.17,8.98,3.92	pct,pct,pct,pct,ppm,ppm
2081	16221.712780000002	15.086752316173904	0.06861	3250.0	0.291	1.488001436e+25	272.78491	CO2,SO2,H2O,CO,HCl,HF	93.73,185.78,10.99,73.05,2.75,9.44	pct,ppm,ppm,ppm,ppm,ppm
2083	7408.708479999999	3.8032791856400583	0.14751	3250.0	0.291	7.8245144e+23	173.67297	N2,O2,H2O,CO2,O3,CH4	82.7,13.38,1.81,0.05,7.53,1.71	pct,pct,pct,pct,ppm,ppm
2084	10079.17684	9.940488544160694	0.0654	3100.0	0.243	3.7850536000000005e+24	233.67912	N2,O2,H2O,CO2,O3,CH4	87.43,10.8,0.74,0.2,2.16,6.12	pct,pct,pct,pct,ppm,ppm
2087	17783.11746	13.359734902102582	0.03198	3250.0	0.291	1.5835355200000002e+25	389.84157	CO2,SO2,H2O,CO,HCl,HF	97.99,58.91,40.4,17.52,1.3,0.09	pct,ppm,ppm,ppm,ppm,ppm
2089	13226.323420000002	11.210875629978304	0.07044	3250.0	0.291	7.350755639999999e+24	316.39621	CO2,SO2,H2O,CO,HCl,HF	95.15,91.51,44.49,96.3,1.89,0.83	pct,ppm,ppm,ppm,ppm,ppm
2100	17312.42798	11.220442956114525	0.074	3100.0	0.243	1.260492124e+25	266.05394	N2,O2,H2O,CO2,O3,CH4	75.97,19.26,0.24,0.01,1.28,0.6	pct,pct,pct,pct,ppm,ppm
2103	17928.6311	12.60964502872076	0.06209	3250.0	0.291	1.51918722e+25	309.2002	CO2,SO2,H2O,CO,HCl,HF	94.05,181.28,95.07,13.44,0.17,2.54	pct,ppm,ppm,ppm,ppm,ppm
2106	9256.55332	7.3143396509965966	0.07806	3000.0	0.149	2.3490264800000002e+24	143.34174	N2,O2,H2O,CO2,O3,CH4	85.1,11.51,0.81,0.02,3.7,4.03	pct,pct,pct,pct,ppm,ppm
2118	14637.245080000002	9.945549192152255	0.05932	3000.0	0.149	7.98659448e+24	163.30885	N2,O2,H2O,CO2,O3,CH4	87.93,10.21,1.74,0.02,9.97,4.51	pct,pct,pct,pct,ppm,ppm
2134	15099.9071	9.345421808306048	0.03214	3250.0	0.291	7.98659448e+24	439.68437	CO2,SO2,H2O,CO,HCl,HF	97.02,99.19,50.68,29.9,8.46,3.77	pct,ppm,ppm,ppm,ppm,ppm
2135	17713.16388	11.88973740535764	0.04318	3250.0	0.291	1.3982303320000001e+25	367.92948	CO2,SO2,H2O,CO,HCl,HF	93.82,66.4,52.32,73.06,2.75,6.99	pct,ppm,ppm,ppm,ppm,ppm
2136	16456.67526	13.491891124892343	0.0741	3250.0	0.291	1.3695289e+25	287.64343	CO2,SO2,H2O,CO,HCl,HF	94.51,108.24,47.73,62.9,9.54,8.58	pct,ppm,ppm,ppm,ppm,ppm
2137	19834.834300000002	11.912328272306768	0.10069	3250.0	0.291	1.756580192e+25	237.82748	N2,O2,H2O,CO2,O3,CH4	75.95,22.85,0.91,0.03,8.41,3.93	pct,pct,pct,pct,ppm,ppm
2138	12459.7647	11.388231964939067	0.13037	3250.0	0.291	6.626590920000001e+24	217.25979	N2,O2,H2O,CO2,O3,CH4	88.87,10.6,0.15,0.05,0.66,6.02	pct,pct,pct,pct,ppm,ppm
